Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;
Bachelor;DMCI-ICT 1013PAD2TD;PAD: Proces SCRUM;07-04-2014;8,0;
Bachelor;DMCI-ICT 1013PAD3TD;PAD: Methoden & technieken UML;07-04-2014;7,8;
Bachelor;DMCI-ICT 1013RSK_PA;Research Skills pa;07-04-2014;7,4;
Bachelor;DMCI-ICT 1013ESKWTD;Essential Skills Wiskunde td;20-02-2014;9,0;
Bachelor;DMCI-ICT 1013SIM_PR;Domeinproject pr;03-02-2014;6,0;
Bachelor;DMCI-ICT 1013DB__TP;Databases practicum;31-01-2014;vold.;
Bachelor;DMCI-ICT 1013DB__TP;Databases practicum;31-01-2014;vold.;
Bachelor;DMCI-ICT 1013DB__TS;Databases tentamen;31-01-2014;7,4;
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;31-01-2014;8,8;
Bachelor;DMCI-ICT 1013PSK_TM;Project Skills mondeling;27-01-2014;6,0;
Bachelor;DMCI-ICT 1013PFYSPD;PFYS: Product;13-01-2014;7,0;
Bachelor;DMCI-ICT 1013PFYST1;PFYS: Proces;13-01-2014;9,0;
Bachelor;DMCI-ICT 1013PFYST2;PFYS: Methoden en technieken;13-01-2014;7,0;
Bachelor;DMCI-ICT 1013ESKETD;Essential Skills English toets;08-11-2013;6,0;
Bachelor;DMCI-ICT 1013BUS_TS;Business tentamen;05-11-2013;6,8;
Bachelor;DMCI-ICT 1013PRO_TP;Programming practicum;01-11-2013;9,7;
Bachelor;DMCI-ICT 1013LSK_OP;Learning Skills op;28-10-2013;6,7;
